center_x,center_y,inner_x,inner_y,outer_x,outer_y,dist_inner,dist_outer
227.0,135.0,238.0,116.99607843137255,226.0,152.00392156862745,21.098369412096485,17.033301168946487
221.0,135.0,234.0,114.99607843137255,221.0,152.00392156862745,23.8570089936647,17.003921568627447
215.0,133.0,220.0,108.99607843137255,215.0,152.00392156862745,24.519140496208628,19.003921568627447
209.0,132.0,217.0,107.99607843137255,213.0,152.00392156862745,25.30194163839641,20.39992348328293
203.0,131.0,203.0,105.99607843137255,197.0,151.00392156862745,25.003921568627447,20.884369229732517
197.0,130.0,193.0,106.99607843137255,197.0,151.00392156862745,23.34909864503474,21.003921568627447
191.0,129.0,191.0,106.99607843137255,193.0,151.00392156862745,22.003921568627447,22.094627500781908
185.0,129.0,188.0,106.99607843137255,193.0,151.00392156862745,22.207488925997648,23.41308532420083
179.0,129.0,188.0,106.99607843137255,188.0,153.00392156862745,23.77335829028596,25.635683152060096
173.0,129.0,168.0,103.99607843137255,180.0,155.00392156862745,25.498942993976687,26.92961078343554
167.0,128.0,167.0,103.99607843137255,161.0,154.00392156862745,24.003921568627447,26.6871492847649
161.0,125.0,161.0,103.99607843137255,147.0,149.00392156862745,21.003921568627447,27.788275417391738
155.0,124.0,156.0,103.99607843137255,145.0,148.00392156862745,20.028901071296907,26.003619953245316
149.0,123.0,149.0,102.99607843137255,139.0,145.00392156862745,20.003921568627447,24.16966206628277
143.0,123.0,148.0,102.99607843137255,133.0,142.00392156862745,20.619332630417464,21.47438089879528
137.0,123.0,137.0,101.99607843137255,133.0,142.00392156862745,21.003921568627447,19.420325305888763
131.0,122.0,127.0,102.99607843137255,131.0,142.00392156862745,19.420325305888763,20.003921568627447
125.0,122.0,125.0,102.99607843137255,120.0,141.00392156862745,19.003921568627447,19.650675178897632
119.0,122.0,125.0,102.99607843137255,115.0,140.00392156862745,19.928598420023008,18.442917118755606
